Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,0402,1,RED_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C2, C28, C32, C6",0402,5,1uF,
"C10, C11, C25, C29, C31, C34, C35, C37, C4, C41, C46, C7, C8, C9",0402,14,0.1uF,
"C12, C53, C54, R8",0402,4,DNP,
"C13, C14",0402,2,11pF,
"C15, C16, C18, C20, C22, C39, C40, C50, C56",0402,9,100nF,
"C17, C19, C21, C27, C3, C45, C51, C55",0402,8,10uF,
C23,0402,1,0.47uF,
"C24, C49, C5",0402,3,10nF,
C26,0402,1,2.2uF,
"C30, C33",0402,2,22nF,
C36,0805,1,22uF,
C38,CP_Elec_6.3x9.9,1,100uF,
"C42, C43, C47, C48, C57",0402,5,22uF,
C44,0402,1,4.7uF,
C52,0402,1,47nF,
D1,0402,1,ORANGE_LED,
"D10, D7, D8, D9",TO-277B,4,D_Schottky,
D11,SOT-23,1,SM712_SOT23,
"D2, D4",0402,2,GREEN_LED,
D3,0402,1,EMERALD_LED,
D5,0402,1,BLUE_LED,
D6,SOT-143,1,SP0503BAHT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
"J10, J11",SMA_Molex_73251-1153_EdgeMount_Horizontal,2,Conn_Coaxial,
J12,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J3,292227-7,1,292227-7,
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J6,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,1,Screw_Terminal_01x08,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
J8,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,DeployLipo,
J9,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,UCLipo,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,MPLAL60504R7,1,MPL-AL6050-4R7,
L4,0402,1,27nH,
Q1,SOT-23,1,PMV20ENR,
"Q10, Q8, Q9",SOT-23,3,DMP3099L,
"Q2, Q3, Q4, Q5",SOT-223,4,NCV8415STT1G,
"Q6, Q7",SOIC-8_3.9x4.9mm_P1.27mm,2,SI4143DY-T1-GE3,
"R1, R12, R13, R26, R29, R36, R43, R44, R6",0402,9,10K,
"R10, R14, R15",0402,3,5.1k,
R11,0402,1,1k,
R16,0402,1,5k,
"R17, R18, R21, R22",0402,4,500,
"R19, R20, R23, R24",0603,4,1K,
"R2, R3, R4, R5, R7",0402,5,470,
R25,0402,1,80k,
R27,0402,1,499k,
R28,0402,1,56k,
R30,0603,1,10,
R31,0603,1,0,
"R32, R33",0603,2,60,
"R34, R35",0402,2,4.7k,
R37,0402,1,37.4k,
R40,0402,1,806k,
R41,0402,1,430k,
R42,0402,1,143k,
R9,0402,1,499,
"TP1, TP12, TP14, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP25, TP26, TP27, TP28, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,23,TestPoint,
"TP10, TP11, TP13",TestPoint_Pad_D2.0mm,3,TestPoint,
TP15,TestPoint_Pad_D1.0mm,1,GPS_RESET,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
"U10, U14, U17, U22, U9",TSOT-23-6,5,LTC4412xS6,
U11,MP28167GQ-A-Z,1,MP28167GQ-A-Z,
U16,SOIC127P599X175-9N,1,SC4215,
U19,ublox_MAX,1,MAX-M10S,
U2,XDCR_DPS310,1,DPS310,
U20,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U21,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
U3,SOP-16_4.4x10.4mm_P1.27mm,1,LTV-247,
U4,QFN65P400X400X100-17N,1,PCA9534RGVR,
U5,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
U6,QFN300X300X100-16N,1,H3LIS331DLTR,
U7,PQFN50P300X300X80-16N,1,ICM-20608-G,
U8,PQFN50P300X300X100-16N,1,MMC5983MA,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
