Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,149.51,-89.8,180.0,top
BOOTJUMPER1,188.5,-93.575,0.0,top
C1,178.6,-81.8,0.0,top
C10,178.3,-87.8,270.0,top
C11,167.5,-85.9,180.0,top
C12,141.3,-79.05,180.0,top
C13,181.1,-86.3,180.0,top
C14,180.9,-82.5,0.0,top
C15,147.662749,-88.437749,180.0,top
C16,149.362749,-86.65,270.0,top
C17,111.675,-95.125,90.0,bottom
C18,110.725,-95.125,90.0,bottom
C19,175.141,-72.739,0.0,bottom
C2,184.305,-91.79,270.0,top
C20,175.147,-73.691,0.0,bottom
C21,155.47,-79.76,90.0,top
C22,157.87,-78.3,180.0,top
C23,150.5,-79.65,180.0,top
C24,150.5,-83.0,180.0,top
C25,150.05,-81.1,90.0,top
C26,150.975,-81.1,90.0,top
C27,148.59,-78.73,0.0,top
C28,145.5,-79.75,90.0,top
C29,166.15,-66.525,270.0,top
C3,168.45,-91.4,0.0,top
C30,186.375,-74.25,90.0,top
C31,176.55,-74.6,270.0,top
C32,186.6,-81.0,270.0,top
C33,184.15,-78.55,180.0,top
C34,188.7,-75.3,180.0,top
C35,174.425,-64.15,0.0,top
C36,188.6,-73.825,180.0,top
C37,175.1,-75.8,225.0,top
C38,189.075,-69.2,0.0,top
C39,190.775,-77.075,270.0,top
C4,183.33,-91.79,270.0,top
C40,190.775,-79.55,90.0,top
C41,188.705,-80.85,180.0,top
C42,188.705,-81.85,180.0,top
C43,188.705,-82.85,180.0,top
C44,188.45,-88.7,270.0,top
C45,196.836186,-89.394508,90.0,top
C46,197.756186,-89.394508,90.0,top
C47,187.275,-83.68,90.0,top
C48,186.3,-83.68,90.0,top
C49,107.9,-72.95,270.0,top
C5,178.6,-80.8,0.0,top
C50,162.925,-86.85,180.0,top
C51,162.925,-85.9,180.0,top
C52,164.706197,-76.92548,90.0,top
C55,108.15,-88.45,90.0,top
C56,108.14,-90.3,270.0,top
C57,185.325,-83.68,90.0,top
C58,144.05,-79.7,180.0,top
C59,141.825,-80.8,0.0,top
C6,168.45,-90.4,0.0,top
C7,175.0,-79.37,0.0,top
C8,175.5,-80.79,90.0,top
C9,185.23,-91.79,270.0,top
D1,149.495,-93.8,180.0,top
D10,133.2,-68.2,90.0,bottom
D11,164.706197,-74.02048,90.0,top
D12,161.53,-83.44,270.0,top
D13,167.89,-83.52,270.0,top
D14,113.1,-69.2,270.0,bottom
D15,113.1,-74.7,270.0,bottom
D16,111.2,-74.7,270.0,bottom
D17,111.2,-69.2,270.0,bottom
D18,170.995,-91.324,180.0,top
D19,181.4,-89.2,180.0,top
D2,149.51,-92.8,180.0,top
D20,108.7125,-90.775,180.0,bottom
D21,108.725,-92.725,180.0,bottom
D22,120.275,-91.725,0.0,bottom
D23,120.275,-93.675,0.0,bottom
D24,120.275,-92.7,0.0,bottom
D25,120.275,-90.75,0.0,bottom
D26,108.7125,-93.7,180.0,bottom
D27,108.7125,-91.75,180.0,bottom
D3,149.495,-95.8,180.0,top
D4,149.495,-94.8,180.0,top
D5,149.5025,-91.8,180.0,top
D6,159.63,-87.31,180.0,top
D7,117.1,-68.15,90.0,bottom
D8,124.2,-68.2,90.0,bottom
D9,128.7,-68.2,90.0,bottom
E1,107.307329,-71.805958,315.0,top
ENJUMPER1,192.1,-93.575,0.0,top
IC1,137.5,-66.85,270.0,bottom
J1,157.86,-66.04,0.0,top
J10,104.75,-72.19,0.0,top
J11,104.74,-84.72,0.0,top
J12,111.595,-62.1,90.0,top
J13,172.4,-99.24,270.0,top
J14,135.2,-93.505,0.0,bottom
J2,190.49,-62.78,180.0,top
J3,134.5,-87.8425,90.0,top
J4,182.325,-94.8,90.0,top
J5,160.5,-92.675,0.0,top
J6,128.34,-62.28,0.0,top
J7,179.175,-61.85,90.0,top
J8,144.835,-62.65,180.0,top
J9,168.8,-62.75,180.0,top
JP3,168.15,-79.95,270.0,top
L1,174.56,-80.76,270.0,top
L2,178.6,-83.8,0.0,top
L3,195.65,-78.25,270.0,top
L4,109.3,-69.4,90.0,top
LS1,183.52,-68.24,180.0,bottom
Q1,189.5,-66.79,180.0,bottom
Q10,178.75,-73.6,90.0,top
Q11,153.36,-74.6,0.0,top
Q12,147.9,-71.715,90.0,top
Q2,124.198,-74.363,0.0,bottom
Q3,117.09,-74.363,0.0,bottom
Q4,133.203,-74.363,0.0,bottom
Q5,137.2,-70.6,180.0,top
Q6,128.704,-74.363,0.0,bottom
Q8,173.975,-66.5625,270.0,top
Q9,168.8125,-70.775,0.0,top
R1,182.355,-91.79,90.0,top
R10,147.603,-89.8,0.0,top
R11,188.06,-64.11,270.0,bottom
R12,110.6125,-90.775,0.0,bottom
R13,151.52,-94.8,180.0,top
R14,154.75,-91.05,90.0,top
R15,166.25,-91.5,270.0,top
R16,147.61,-90.8,0.0,top
R17,110.6125,-93.7,0.0,bottom
R18,110.6125,-91.75,0.0,bottom
R19,141.4,-74.7,180.0,top
R2,147.585,-93.8,0.0,top
R20,141.8,-77.6,270.0,top
R21,118.375,-90.75,180.0,bottom
R22,118.375,-92.7,180.0,bottom
R23,140.8,-77.6,270.0,top
R24,173.35,-79.8,270.0,top
R25,170.33,-73.42,270.0,top
R26,169.33,-73.42,90.0,top
R27,190.8,-74.275,270.0,top
R28,196.846186,-87.547223,90.0,top
R29,196.846186,-85.687223,90.0,top
R3,147.585,-92.8,0.0,top
R30,109.1,-72.4,270.0,top
R31,161.26,-78.96,270.0,top
R32,162.72,-76.73,0.0,top
R33,166.7,-76.72,0.0,top
R34,111.75,-65.72,180.0,top
R35,114.01,-65.71,0.0,top
R36,185.125,-74.65,270.0,top
R37,184.15,-77.6,180.0,top
R38,161.07,-84.85,0.0,top
R39,168.35,-84.94,180.0,top
R4,147.585,-95.8,0.0,top
R40,185.25,-80.9,270.0,top
R41,184.3,-80.9,270.0,top
R42,184.15,-79.525,180.0,top
R43,183.385,-75.275,0.0,top
R44,183.385,-76.25,0.0,top
R45,144.05,-77.725,180.0,top
R46,144.05,-78.725,0.0,top
R47,178.582,-64.073,90.0,bottom
R48,151.52,-95.8,180.0,top
R49,110.625,-92.725,0.0,bottom
R5,147.585,-94.8,0.0,top
R50,118.375,-91.725,180.0,bottom
R51,118.375,-93.675,180.0,bottom
R52,177.59,-64.073,90.0,bottom
R53,176.603,-64.073,90.0,bottom
R54,175.209,-64.07,90.0,bottom
R6,186.19,-91.8,90.0,top
R7,147.5925,-91.8,180.0,top
R8,120.8,-77.6,0.0,top
R9,166.75,-92.95,0.0,top
U1,173.4,-85.8,270.0,top
U10,168.6875,-67.325,180.0,top
U11,188.2,-78.275,270.0,top
U12,142.475,-83.375,90.0,top
U14,143.3,-70.5,180.0,top
U16,192.665,-87.525,0.0,top
U17,157.98,-74.116437,90.0,top
U19,115.75,-71.55,180.0,top
U2,147.612749,-86.437749,180.0,top
U20,164.701197,-81.67548,0.0,top
U21,117.9,-88.375,180.0,top
U22,182.2,-71.65,270.0,top
U3,114.9,-85.975,180.0,bottom
U4,114.8,-92.85,180.0,bottom
U5,175.807,-68.654,270.0,bottom
U6,158.1,-81.0,0.0,top
U7,153.2,-81.0,90.0,top
U8,147.75,-81.0,90.0,top
U9,177.425,-65.75,90.0,top
USBLED1,149.51,-90.8,180.0,top
Y1,181.0,-84.4,270.0,top
